UniversityID,Country,State/Province,BuildingID,BuildingName,Size,Type,BuiltYear,FCI (facility condition index),CRV (current replacement value),DMC (deferred maintenance cost),SystemCode,SystemDescription,SubsystemCode,SubsystemDescription,DescriptiveCode,ComponentDescription,WOID,WODescription,WOPriority,WOStartDate,WOEndDate,WODuration,PPM/UPM,LaborCost,MaterialCost,OtherCost,TotalCost,LaborHours,MinTemp.(°C),MaxTemp.(°C),Atmospheric pressure(hPa),Humidity(%),WindSpeed(m/s),WindDegree,Precipitation(mm),Snow(mm),Cloudness(%)
3,USA,Alaska,FS803,,,,,,,,B20,Exterior Enclosure,B2030,Exterior Doors,B2030STR,"Steel 20'x20', Painted/Roll-up",UAF17-0028222,PHYSICAL PLANT OVERHEAD DOOR AND GATE (BY CONTRACTOR) ANN,4-PLANNED,2017-06-01 08:22:45.710,,,PPM,0.0,130.0,0.0,130.0,0.0,11.999166666666667,14.461666666666666,1006.6666666666666,40.79166666666666,1.3075,33.333333333333336,0.0,0.0,34.791666666666664
11,USA,Oklahoma,258,KAMM HALL,,,2000.0,,,,E20,Furnishings,E2010,Fixed Furnishings,E2010FFU,General Fixed Furnishings,17-0248571,KAMM-107A KAMM-107A: BATHROOM ON A/B SIDE MIDDLE DRAWER NEEDS FIXING.  PRIORITY-NORMAL DCD-7/7/17,,2017-05-22,,,PPM,100.18,0.0,,100.18,2.75,16.364583333333332,18.34333333333333,1018.9166666666666,69.41666666666667,2.136666666666667,,0.5800000000000001,0.0,
11,USA,Oklahoma,172,WEST APARTMENTS - UNIT S-85,,,1964.0,,,,C30,Interior Finishes,C3010,Wall Finishes,C3010CIW,Concrete Interior Wall Finish,17-0207101,085-008A FGSH CHECK OUT:   EXECUTE FULL PAINT (ABATEMENT),,2016-09-22,,,PPM,1450.11,226.16,,1676.27,39.75,24.880833333333328,27.291249999999994,1015.9166666666666,64.29166666666667,4.151666666666668,,0.0,0.0,
11,USA,Oklahoma,63,AGRICULTURE NORTH,,,1965.0,,,,D30,HVAC,D3040,Distribution Systems,D3040EXH,Exhaust Fan,19-0318196,AG NORTH 0063 EXHAUST FANS/SUPPLY FAN [AGRICULTURE NORTH] SF SUPPLY FAN SF 01 PROPERTY 0063 AGRICULTURE NORTH 100H,,2018-08-10,,,PPM,30.47,0.0,,30.47,0.75,25.17083333333333,27.538333333333327,1016.4583333333334,67.54166666666667,1.6341666666666663,,0.11,0.0,
11,USA,Oklahoma,140,DEMAREE APARTMENTS - UNIT S-41,,,1962.0,,,,E10,Equipment,E1010,Commercial Equipment,E1010MIO,Microwave Oven,18-0302367,041-003A FGSH CHECK OUT: 41-3: INSTALL NEW MICROWAVE,,2018-05-16,,,PPM,38.88,62.05,,100.93,1.0,20.827916666666663,22.657083333333336,1014.2916666666666,75.66666666666667,2.41,,2.09,0.0,
2,USA,California,88,,,,,,,,D20,Plumbing,D2030,Sanitary Waste,D2030PAF,Pipe & Fittings,BRN_HSE18127689,PLUMBING: LEAK,2-URGENT,2018-10-23 11:33:00,,0.0,UPM,72.64,7.44,,80.08,2.27,17.493750000000002,20.57625,1012.0833333333334,74.58333333333333,2.085416666666667,150.375,0.0,0.0,20.791666666666668
11,USA,Oklahoma,60,WENTZ HALL,,,1964.0,,,,D20,Plumbing,D2010,Plumbing Fixtures,D2010SHW,"Shower, Head/Valve/Tile/Fiberglass/Terrazzo",21-0440857,"WENTZ-BUILDING WENTZ-2ND FLOOR: EMERGENCY: BLUE SIDE LAST SHOWER DRAIN DOESNÃ?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?T DRAIN, CLOGGED MAYBE? D.C.D. 11/10",,2020-11-10,,,UPM,63.53,0.0,,63.53,1.5,13.692916666666669,16.547083333333337,1009.7916666666666,69.375,5.275000000000001,,2.13,0.0,
11,USA,Oklahoma,126,VILLAGE SUITES C AND D,,,2006.0,,,,D30,HVAC,D3040,Distribution Systems,D3040AHD,"Air Handler, Exhaust/Multizone/Single Zone",17-0223706,VILLAGE D 0126 AIR HANDLERS [VILLAGE SUITES C AND D] AH AIR HANDLER PROPERTY 0126 HOUSING - JPI PHASE 1 BUILDING 3 D347,,2016-11-11,,,PPM,1.24,0.0,,1.24,0.1,12.14875,14.939166666666669,1023.5416666666666,74.625,2.730833333333333,,0.0,0.0,
11,USA,Oklahoma,191,STEVENS APARTMENTS - UNIT S-72,,,1964.0,,,,B20,Exterior Enclosure,B2030,Exterior Doors,B2030MWM,Metal Wire Mesh Door,17-0237324,072-009A FGSH CHECK OUT:  072-009:  REPLACE DOOR SCREEN,,2017-03-08,,,PPM,118.41,1.88,,120.29,3.0,10.495416666666666,13.515416666666669,1023.125,26.45833333333333,4.4783333333333335,,0.0,0.0,
11,USA,Oklahoma,47,ROBERT M. KERR FOOD & AGRICULTURAL PRODUCTS CENTER,,,1997.0,,,,D20,Plumbing,D2090,Other Plumbing Systems,D2090RVO,Reverse Osmosis/Deionized Water System,20-0399157,MEP-MECHANICAL HVAC WEEKLY REVERSE OSMOSIS INSPECTION [ROBERT M. KERR FOOD & AGRICULTURAL PRODUCTS CENTER] REVERSE OSMOSIS UNIT ATTIC OF FAPC,,2019-12-19,,,PPM,0.0,0.0,,0.0,0.0,3.285833333333333,6.992916666666667,1019.0416666666666,39.083333333333336,3.4520833333333343,,0.0,0.0,
3,USA,Alaska,FS909,,,,,,,,D20,Plumbing,D2030,Sanitary Waste,D2030PAF,Pipe & Fittings,UAF07-0002782,STANDBY: RM 250: RESPOND TO LEAK,1-EMERGENCY,2006-08-01,,,PPM,33.5,0.0,0.0,33.5,0.0,12.87375,14.522499999999996,1006.5833333333334,67.375,1.3,48.75,0.0,0.0,60.25
11,USA,Oklahoma,2,SERETEAN CENTER FOR THE PERFORMING ARTS,,,1912.0,,,,D50,Electrical,D5090,Other Electrical Systems,D5090BAT,"Battery, UPS",17-0208688,0002SCPA - REPLACE UNC BATTERY. **PURCHASE PARTS - OPENED PER MIKE VOSS 8/17/16**,,2016-08-17,,,PPM,51.73,0.0,,51.73,1.0,24.29083333333333,26.743749999999995,1018.9583333333334,64.04166666666667,3.134583333333334,,0.0,0.0,
11,USA,Oklahoma,188,WEST APARTMENTS - UNIT S-82,,,1964.0,,,,D20,Plumbing,D2010,Plumbing Fixtures,D2010SNK,Sink,21-0433867,082-008A 82-8 - EMERGENCY - DCD: 9/18/20 - THE KITCHEN SINK FAUCET KNOB HAS BEEN TAKEN OFF SOME HOW AND THEY CAN'T TURN ON THE HOT WATER. RESIDENT THINKS IT WAS DONE BY SOMEONE DOING WATER HEATER INSPECTIONS. INSPECT AND REPAIR AS NEED [SEE WO EXTRA DESC],,2020-09-18,,,UPM,63.53,0.0,,63.53,1.5,18.52666666666666,20.771666666666665,1021.2916666666666,72.41666666666667,3.141666666666667,,0.0,0.0,
3,USA,Alaska,FS903,,,,,,,,C10,Interior Construction,C1020,Interior Doors,C1020DRH,Door Hardware,UAF09-0006246,ELVEY 107: REPAIR DOOR,3-EXPEDITED,2008-09-12,,,PPM,578.0,12.01,0.0,590.01,8.5,8.866249999999999,10.375833333333334,1005.375,81.95833333333333,1.2708333333333333,100.41666666666669,13.96,0.0,82.29166666666667
11,USA,Oklahoma,12,PAUL MILLER JOURNALISM AND BROADCASTING,,,1918.0,,,,D20,Plumbing,D2020,Domestic Water Distribution,D2020WHT,"Water Heater, Condensing/Electric/Gas/Oil",18-0285575,J/B PAUL MILLER 0012 WATER HEATER [PAUL MILLER JOURNALISM AND BROADCASTING] WATER HEATER 05 PROPERTY 0012 PAUL MILLER JOURNALISM AND BROADCASTING 109B,,2018-01-18,,,PPM,81.68,0.0,,81.68,2.0,-2.275,0.3937499999999999,1028.9583333333333,39.91666666666666,4.911666666666668,,0.0,0.0,
11,USA,Oklahoma,246,PAYNE ELLIS HALL,,,2001.0,,,,D30,HVAC,D3040,Distribution Systems,D3040FAN,Fan ,16-0153788,PNEL-310A CEILING FAN CHAIN IS BROKEN. PLEASE REPAIR. THANKS D.C.D.  7/22/15,,2015-07-14,,,PPM,33.9,0.0,,33.9,1.0,29.057916666666653,31.37374999999999,1009.0833333333334,66.875,3.595833333333333,,0.0,0.0,
11,USA,Oklahoma,19,PUBLIC INFORMATION,,,1930.0,,,,D30,HVAC,D3050,Terminal & Package Units,D3050ACO,Air Conditioner,21-0462769,PIO 0019 CONDENSING UNIT [PUBLIC INFORMATION] CU CONDENSING UNIT CU 01 PROPERTY 0019 PUBLIC INFORMATION 200B,,2021-05-14,,,PPM,0.0,0.0,,0.0,0.0,15.760000000000003,18.6425,1021.7083333333334,63.0,4.647083333333334,,0.17,0.0,
11,USA,Oklahoma,261,BOOKER-STINCHCOMB HALL,,,2003.0,,,,D20,Plumbing,D2010,Plumbing Fixtures,D2010BES,"Bathtub, Enameled Steel",16-0185123,"STNCH-341A STNCH-341: URGENT: GARBAGE DISPOSAL NOT WORKING, ALSO, BATHROOM TUB AND SINK CLOGGED. D.C.D. 2/29 **OPEN PER SCOTT HUNSUCKER 2/26/16**",,2016-02-26,,,UPM,56.08,0.0,,56.08,2.5,2.4904166666666665,5.638750000000001,1028.5416666666667,58.708333333333336,3.179166666666667,,0.0,0.0,
3,USA,Alaska,FS306,,,,,,,,C10,Interior Construction,C1020,Interior Doors,C1020DRH,Door Hardware,UAF09-0022417,SOUTH ENTRY: REPAIR STRIKE ON MAN DOOR,3-EXPEDITED,2009-04-28,,,PPM,34.0,0.0,0.0,34.0,0.5,7.743333333333332,10.0875,1029.2916666666667,54.75,1.604166666666667,91.25,0.0,0.0,67.70833333333333
11,USA,Oklahoma,187,STEVENS APARTMENTS - UNIT S-73,,,1964.0,,,,D30,HVAC,D3020,Heat Generation Systems,D3020FUR,"Furnace, Gas/Oil/Electric",18-0305443,STEVENS APARTMENTS - UNIT S-73 0187 FURNACE [STEVENS APARTMENTS - UNIT S-73] FURNACE APT. 212 STEVENS APARTMENTS - UNIT S-73,,2018-06-01,,,PPM,7.78,0.0,,7.78,0.2,27.484583333333333,28.88791666666666,1009.4166666666666,73.20833333333333,4.436250000000001,,0.0,0.0,
11,USA,Oklahoma,128,VILLAGE SUITES CASNR,,,2006.0,,,,D30,HVAC,D3040,Distribution Systems,D3040AHD,"Air Handler, Exhaust/Multizone/Single Zone",19-0352980,VILLAGE A 0128 AIR HANDLERS [VILLAGE SUITES CASNR] AH AIR HANDLER A427 PROPERTY 0128 HOUSING - JPI PHASE 1 BUILDING 2,,2019-03-29,,,PPM,21.2,0.0,,21.2,1.25,17.316249999999997,19.52333333333333,1001.5416666666666,71.875,5.007916666666668,,12.93,0.0,
11,USA,Oklahoma,265,UNIVERSITY COMMONS NORTH,,,2015.0,,,,D30,HVAC,D3040,Distribution Systems,D3040AHD,"Air Handler, Exhaust/Multizone/Single Zone",21-0431924,UNIVERSITY COMMONS NORTH 0265 AIR HANDLERS [UNIVERSITY COMMONS NORTH] AIR HANDLER NORTH COMMS 0265 ROOM 321,,2020-09-03,,,PPM,0.0,0.0,,0.0,0.0,24.0225,26.61375,1011.9583333333334,75.41666666666667,1.604166666666667,,0.7,0.0,
3,USA,Alaska,FS907,,,,,,,,D30,HVAC,D3040,Distribution Systems,D3040AHD,"Air Handler, Exhaust/Multizone/Single Zone",UAF13-0025428,MUSEUM FAN/AH SEMIANN,4-PLANNED,2013-04-08 10:42:34.257,,,PPM,190.0,0.0,0.0,190.0,2.5,-20.526666666666667,-6.822500000000001,1011.7083333333334,79.70833333333333,1.67125,131.25,0.0,0.87,70.41666666666667
11,USA,Oklahoma,282,CENTRAL PLANT,,,,,,,D20,Plumbing,D2020,Domestic Water Distribution,D2020WST,Water Storage Tank,20-0398539,BUILD AND INSTALL AIR MIXER FOR BRINE DAY TANK PLEASE ASSIGN TO UTILITIES PRODUCTION,,2019-12-16,,,PPM,158.4,0.0,,158.4,6.0,-1.3358333333333337,0.1220833333333333,1011.4166666666666,76.0,5.327083333333333,,0.0,0.0,
11,USA,Oklahoma,15,WHITEHURST,,,1925.0,,,,D30,HVAC,D3040,Distribution Systems,D3040AHD,"Air Handler, Exhaust/Multizone/Single Zone",21-0462712,"WHITEHURST 0015 AIR HANDLER [WHITEHURST] 4-WAY CASSETTE - 24"" X 24"" AH-2 PROPERTY 0015 WHITEHURST 208H",,2021-05-14,,,PPM,0.0,0.0,,0.0,0.0,15.760000000000003,18.6425,1021.7083333333334,63.0,4.647083333333334,,0.17,0.0,
11,USA,Oklahoma,261,BOOKER-STINCHCOMB HALL,,,2003.0,,,,D30,HVAC,D3050,Terminal & Package Units,D3050FCU,Fan Coil Unit,21-0445118,BOOKER-STINCHCOMB HALL 0261 FAN COIL UNIT [BOOKER-STINCHCOMB HALL] FAN COIL  140 ROOM 300.06 FLOOR 3 ABOVE CEILING SE PROPERTY 0261 BOOKER-STINCHCOMB HALL,,2020-12-18,,,PPM,10.59,0.0,,10.59,0.25,5.083333333333333,8.926250000000001,1017.9166666666666,66.375,6.05,,0.0,0.0,
11,USA,Oklahoma,127,VILLAGE SUITES HS,,,2006.0,,,,D30,HVAC,D3040,Distribution Systems,D3040AHD,"Air Handler, Exhaust/Multizone/Single Zone",18-0272867,VILLAGE B 0127 AIR HANDLERS [VILLAGE SUITES HS] AH AIR HANDLER B209 PROPERTY 0127 HOUSING - JPI PHASE 1 BUILDING 1,,2017-10-13,,,PPM,9.6,0.0,,9.6,0.25,22.892916666666665,25.185416666666665,1015.2083333333334,64.04166666666667,4.636666666666667,,0.0,0.0,
3,USA,Alaska,TV655,,,,,,,,D30,HVAC,D3050,Terminal & Package Units,D3050UNH,Unit Heater,UAF15-0028858,CTC (TVCC) UNIT HEATERS ENTRY 3X/YR,4-PLANNED,2015-05-11 08:13:17.953,,,PPM,117.0,0.0,0.0,117.0,1.5,8.232083333333334,10.687916666666666,1011.5,51.583333333333336,2.1541666666666672,115.0,0.0,0.0,48.75
3,USA,Alaska,FS403,,,,,,,,D50,Electrical,D5030,Communications & Security,D5030HDA,Handicap Door Access Interface,UAF09-0024851,NORTH ENT: HCP BUTTON IS INOPERABLE,2-URGENT,2009-06-05,,,PPM,68.0,0.0,0.0,68.0,1.0,19.024999999999995,21.680833333333325,1008.8333333333334,41.29166666666666,1.6458333333333337,68.75,0.0,0.0,71.66666666666667
3,USA,Alaska,FS803,,,,,,,,D30,HVAC,D3040,Distribution Systems,D3040AFT,Air Filters,UAF10-0021068,PHYSICAL PLANT AIR FTRS WK40,3-EXPEDITED,2010-03-29,,,PPM,216.0,176.81,0.0,392.81,3.0,-5.665833333333334,-0.3433333333333326,977.3333333333334,62.0,0.7291666666666666,47.91666666666666,0.0,0.0,54.583333333333336
3,USA,Alaska,FM099,,,,,,,,D30,HVAC,D3090,Other HVAC Systems & Equipment,D3090OTH,General Other HVAC Systems & Equipment,UAF18-0013704,MUSEUM PORTABLE CHMBR ANN,4-PLANNED,2017-12-04 08:47:36.010,,,PPM,237.0,0.0,0.0,237.0,3.0,-8.977083333333335,-3.930416666666666,987.4583333333334,92.25,0.7920833333333333,23.75,0.0,0.0,80.0
11,USA,Oklahoma,262,ADAMS MARKET,,,2003.0,,,,E10,Equipment,E1010,Commercial Equipment,E1010FRZ,"Freezer/Cooler, Commercial/Reach-In",18-0275025,"FREEZER AT ADAMS MARKET IF READING 26 DEGREES IT USUALLY READS 0 DEGREES, SENT MAINTENANCE OUT TO LOOK AT IT.",,2017-10-30,,,PPM,441.72,0.0,,441.72,11.5,11.722083333333336,13.751666666666669,1013.7083333333334,52.208333333333336,5.609999999999999,,0.0,0.0,
11,USA,Oklahoma,2,SERETEAN CENTER FOR THE PERFORMING ARTS,,,1912.0,,,,D30,HVAC,D3040,Distribution Systems,D3040EXH,Exhaust Fan,21-0460115,SERETEAN 0002 EXHAUST FAN/SUPPLY FAN/RETURN FAN [SERETEAN CENTER FOR THE PERFORMING ARTS] EF EXHAUST FAN EF 05 PROPERTY 0002 SERETEAN CENTER FOR THE PERFORMING ARTS ROSE,,2021-04-23,,,PPM,44.08,0.0,,44.08,1.0,11.997083333333334,13.895416666666664,1011.5,74.41666666666667,4.6450000000000005,,8.62,0.0,
11,USA,Oklahoma,51,PHYSICAL SCIENCES,,,1958.0,,,,C30,Interior Finishes,C3010,Wall Finishes,C3010CIW,Concrete Interior Wall Finish,21-0436452,0051PS - PAINTER TO TOUCH UP AROUND WINDOW BLIND IN LAB ROOM 357.  PLEASE CONTACT DANIEL BRYANT FOR SCHEDULING BEFORE ENTRY.,,2020-10-29,,,PPM,440.7,0.0,,440.7,10.0,5.463333333333334,7.605000000000001,1013.9583333333334,82.91666666666667,5.033333333333334,,13.41,0.0,
3,USA,Alaska,FS303,,,,,,,,C30,Interior Finishes,C3010,Wall Finishes,C3010PLA,Plaster,UAF12-0008292,RM 405C: PATCH & PAINT WALL,3-EXPEDITED,2011-09-30,,,PPM,2308.5,86.28,0.0,2394.78,28.5,0.9104166666666664,3.0241666666666664,999.5416666666666,71.79166666666667,0.5333333333333333,38.333333333333336,0.0,0.0,77.70833333333333
11,USA,Oklahoma,261,BOOKER-STINCHCOMB HALL,,,2003.0,,,,D20,Plumbing,D2010,Plumbing Fixtures,D2010TWB,Toilet & Wash Basin,20-0370832,BOOK-302A EMERGENCY: BOOK-302:  TOILET CLOGGED.  PLEASE CLEAR. DCD: 7/18/2019,,2019-07-18,,,UPM,20.52,0.0,,20.52,0.5,29.464583333333326,31.97625,1010.7916666666666,61.875,6.404166666666668,,0.0,0.0,
11,USA,Oklahoma,282,CENTRAL PLANT,,,,,,,D20,Plumbing,D2020,Domestic Water Distribution,D2020PAF,Pipe & Fittings,19-0338550,PAINT FUEL OIL LINE ON THE BYPASS,,2018-12-11,,,PPM,79.92,0.0,,79.92,3.0,2.640833333333333,6.293333333333333,1022.0416666666666,62.958333333333336,3.169583333333333,,0.0,0.0,
11,USA,Oklahoma,170,WILLIAMS APARTMENTS - UNIT N-101,,,1966.0,,,,D30,HVAC,D3020,Heat Generation Systems,D3020FUR,"Furnace, Gas/Oil/Electric",19-0316740,WILLIAMS APARTMENTS - UNIT N-101 0170 FURNACE [WILLIAMS APARTMENTS - UNIT N-101] FURNACE APT. 204 WILLIAMS APARTMENTS - UNIT N-101,,2018-08-03,,,PPM,7.78,0.0,,7.78,0.2,25.141666666666666,28.0,1017.0416666666666,53.54166666666666,4.746666666666667,,0.0,0.0,
3,USA,Alaska,FS906,,,,,,,,D30,HVAC,D3020,Heat Generation Systems,D3020CRS,Condensate Receiver Station,UAF10-0006102,IRVING 2 COND RCVR 2X/YR,3-EXPEDITED,2009-09-04,,,PPM,108.0,0.0,0.0,108.0,1.5,11.515000000000002,15.593333333333332,1012.1666666666666,53.75,2.458333333333334,173.75,0.0,0.0,56.25
11,USA,Oklahoma,46,ADVANCED TECHNOLOGY RESEARCH CENTER,,,1997.0,,,,C10,Interior Construction,C1020,Interior Doors,C1020DRH,Door Hardware,16-0187508,ATRC RM 122 & 313 NEED MAGNETIC DOOR RELEASE MECHANISM INSTALLED SO THAT DOORS CAN REMAIN OPEN UNLESS THE FIRE ALARM IS TRIGGERED.  .  **OPEN PER CODY SPYBUCK 6/30/16 TO HAVE KEYS PROVIDE MAGNETIC DOOR HANDLERS**,,2016-06-30,,,PPM,0.0,0.0,,0.0,0.0,26.018750000000008,28.57708333333333,1015.375,60.16666666666666,3.5645833333333337,,0.0,0.0,
11,USA,Oklahoma,2,SERETEAN CENTER FOR THE PERFORMING ARTS,,,1912.0,,,,D50,Electrical,D5020,Lighting and Branch Wiring,D5020FLF,Fluorescent Lighting Fixture,19-0338106,0002SCPA - 133 - OVERHEAD FLUORESCENT TUBES ARE OUT IN FACULTY OFFICE. THANKS.,,2018-12-07,,,PPM,60.93,0.0,,60.93,1.5,0.8466666666666663,1.924583333333333,1029.625,60.91666666666666,4.4708333333333306,,0.0,0.0,
3,USA,Alaska,FS422,,,,,,,,D30,HVAC,D3040,Distribution Systems,D3040AFT,Air Filters,UAF16-0024869,U PARK AIR FTR WK40,4-PLANNED,2016-04-04 08:50:49.253,,,PPM,77.0,33.93,0.0,110.93,1.0,1.5624999999999998,5.212916666666666,1009.375,60.625,3.570833333333334,137.08333333333334,0.0,0.0,41.66666666666666
11,USA,Oklahoma,79,FACILITIES MANAGEMENT SERVICES,,,1972.0,,,,,Unclassified,,Unclassified,,Unclassified,21-0440977,WORK ORDER FOR SUMINDA'S HELP WITH RON'S COMPUTER,,2020-11-11,,,PPM,0.0,0.0,,0.0,0.25,5.4,8.203333333333333,1016.8333333333334,70.95833333333333,2.725,,0.0,0.0,
11,USA,Oklahoma,34,STOUT HALL,,,1948.0,,,,E10,Equipment,E1090,Other Equipment,E1090OEQ,General Other Equipment,16-0170787,"STOUT-BUILDING STOUT-4TH FLOOR MEN'S BATHROOM, MIDDLE STALL: URGENT: TOILET PAPER DISPENSER TEETH BROKEN AND WILL NOT CLOSE. D.C.D. 11/3 **OPEN PER DAVID ADAMS 11/6/15**",,2015-11-06,,,PPM,33.9,0.0,,33.9,1.0,12.054166666666667,13.952083333333334,1018.7083333333334,64.70833333333333,3.1750000000000003,,0.0,0.0,
11,USA,Oklahoma,284,MULTIMODAL TRANSPORTATION TERMINAL,,,2009.0,,,,C10,Interior Construction,C1020,Interior Doors,C1020DRH,Door Hardware,16-0152783,100F-DOOR IS VERY HARD TO OPEN.**OPENED PER BRUCE BRANDON 7/10/15**,,2015-07-10,,,PPM,54.59,0.0,,54.59,1.5,25.006666666666664,26.860833333333336,1016.5416666666666,79.79166666666667,4.100000000000001,,3.65,0.0,
